1458976713 0.554830
1458977013 0.537800
1458977313 0.532048
1458977613 0.535490
1458977913 0.524743
1458978213 0.524903
1458978513 0.531288
1458979752 0.528223
1458980053 0.525685
1458980353 0.521759
1458980653 0.522055
1458980953 0.525140
1458981253 0.544322
1458981553 0.541181
1458981853 0.554913
1458982153 0.538713
1458982453 0.541392
1458982753 0.572529
1458983053 0.578852
1458983353 0.586341
1458983653 0.588533
1458983953 0.583243
1458984253 0.591286
1458984553 0.598897
1458984853 0.600831
1458985153 0.597365
1458985453 0.595794
1458985753 0.592246
1458986053 0.594280
1458986353 0.587708
1458986653 0.586117
1458986953 0.579420
1458987253 0.584579
1458987553 0.590117
1458987853 0.591658
1458988153 0.591404
1458988453 0.589767
1458988753 0.587473
1458989053 0.591335
1458989353 0.598584
1458989653 0.576334
